Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10686252,2,"Sunday, March 31, 2013 08:10:18 UTC",60.6850,-152.0403,1.4,92.40,26,"Southern Alaska"
ak,10684484,2,"Sunday, March 31, 2013 08:05:57 UTC",59.9621,-148.5702,1.5,11.10,23,"Kenai Peninsula, Alaska"
us,b000fwxu,8,"Sunday, March 31, 2013 07:46:18 UTC",38.8676,142.0573,5.3,37.10,84,"near the east coast of Honshu, Japan"
nc,71963670,3,"Sunday, March 31, 2013 07:31:22 UTC",38.7608,-122.4300,1.1,8.50,23,"Northern California"
ci,11276122,2,"Sunday, March 31, 2013 07:21:52 UTC",35.5722,-118.5293,1.4,2.40,21,"Central California"
ak,10684466,2,"Sunday, March 31, 2013 07:07:08 UTC",61.4795,-150.7674,1.3,62.70,33,"Southern Alaska"
us,b000fwxk,5,"Sunday, March 31, 2013 07:02:37 UTC",42.7753,46.8525,4.6,43.80,75,"Caucasus region, Russia"
ak,10684607,3,"Sunday, March 31, 2013 07:00:35 UTC",61.6171,-149.9345,1.0,31.90,18,"Southern Alaska"
ak,10684468,3,"Sunday, March 31, 2013 06:59:55 UTC",61.0049,-152.3848,1.7,117.80,37,"Southern Alaska"
ci,11276114,4,"Sunday, March 31, 2013 06:59:53 UTC",36.1900,-118.0272,1.0,0.60,12,"Central California"
ak,10684460,2,"Sunday, March 31, 2013 06:22:27 UTC",61.4445,-151.5808,1.6,79.30,35,"Southern Alaska"
ak,10684459,2,"Sunday, March 31, 2013 06:21:16 UTC",63.4539,-149.2315,1.0,92.30,26,"Central Alaska"
nc,71963640,3,"Sunday, March 31, 2013 06:14:36 UTC",36.6893,-121.3215,2.2,4.50,61,"Central California"
ak,10684455,2,"Sunday, March 31, 2013 06:11:40 UTC",60.5470,-145.2582,1.5,14.70,28,"Southern Alaska"
ak,10684454,2,"Sunday, March 31, 2013 06:04:09 UTC",60.2123,-141.3049,1.3,0.00, 5,"Southern Alaska"
ci,11276098,1,"Sunday, March 31, 2013 05:58:08 UTC",35.5725,-118.5285,1.3,1.60,16,"Central California"
ak,10684450,2,"Sunday, March 31, 2013 05:46:55 UTC",51.8175,-174.2225,2.5,24.10,20,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000fwwx,7,"Sunday, March 31, 2013 05:40:12 UTC",-20.6681,-69.0417,4.3,105.60,40,"Tarapaca, Chile"
ak,10684437,2,"Sunday, March 31, 2013 05:30:23 UTC",62.3006,-149.9401,2.2,5.30,60,"Central Alaska"
ci,11276090,2,"Sunday, March 31, 2013 05:29:18 UTC",35.5692,-118.5313,1.4,1.80,19,"Central California"
ci,11276082,2,"Sunday, March 31, 2013 05:29:18 UTC",33.9862,-116.6633,1.4,17.40,46,"Southern California"
nc,71963625,3,"Sunday, March 31, 2013 05:27:00 UTC",39.1512,-122.9775,1.4,8.80,10,"Northern California"
ci,11276074,1,"Sunday, March 31, 2013 05:21:48 UTC",35.5642,-118.5278,1.5,1.90,20,"Central California"
ak,10684427,2,"Sunday, March 31, 2013 05:13:40 UTC",63.0331,-150.6106,3.0,108.80,82,"Central Alaska"
